"serial_no","chapter_name","paragraph_number","paragraph","Word_Count","Sentance_Count","Stop_Words","Post_INFO"
"1333","Thirteen","17","'Where is my bed?' I wanted to ask.","9","2","3","{""DET"": 1, ""VERB"": 3, ""PRON"": 2, ""NOUN"": 1, ""."": 1, ""PRT"": 1}"
"1334","Thirteen","18","We had taken an overnight train from Ahmedabad to Mumbai, waited six more hours  to  board  a  fourteen-hour  flight  to  Sydney  via  Singapore.  Thirty  hours  of travel in cramped environments and I wanted to kill myself with sleep.","39","2","14","{""PRON"": 3, ""VERB"": 5, ""DET"": 2, ""ADJ"": 4, ""NOUN"": 13, ""ADP"": 5, ""PRT"": 4, ""."": 1, ""NUM"": 1, ""CONJ"": 1}"
"1335","Thirteen","19","'Oh, so we made it in time for practice?' Ish looked out at the streets of Sydney.","19","2","9","{""NUM"": 1, ""."": 2, ""ADP"": 5, ""PRON"": 2, ""VERB"": 2, ""NOUN"": 5, ""PRT"": 1, ""DET"": 1}"
"1336","Thirteen","20","At 7 a.m. in the morning, joggers clogged the pavements. Picture-postcard coffee shops advertised delicious muffins.","17","2","3","{""ADP"": 2, ""NUM"": 1, ""NOUN"": 8, ""DET"": 2, ""."": 1, ""VERB"": 2, ""ADJ"": 1}"
"1337","Thirteen","21","I patted the khakras in my bag. We couldn't afford any cakes In this town.","16","2","5","{""PRON"": 3, ""VERB"": 3, ""DET"": 3, ""NOUN"": 4, ""ADP"": 2, ""ADV"": 1}"
"1338","Thirteen","22","'I  go  to  the  academy  ground  in  the  morning,'  Fred  said  as  he  stepped  on  the gas. 'I've put you up in a hostel. Take a nap first I'd say. Philip will pick you up for the evening practice.' Guys, this is Ali. He is a batsman,' Fred said to the other players who came for practice.  Apart  from  Philip,  there  was  a  beefy  guy  called  Peter  and  a  spectacled spinner called Steve. I forgot the other names instantly.","90","8","35","{""PRT"": 6, ""PRON"": 9, ""VERB"": 18, ""DET"": 13, ""NOUN"": 24, ""ADP"": 7, ""."": 7, ""ADV"": 2, ""ADJ"": 3, ""CONJ"": 1}"
"1339","Thirteen","23","Fred  screamed, 'Five  rounds  everyone.  Close  to  the  boundary  line,  no  short- cuts.' The  first  two  hours  of  our  Australian  practice  was  the  practice  of  death.  Five rounds  of  the  academy  grounds equaled twenty  rounds  of  Nana  Park  and  fifty rounds of the bank's courtyard. After the run, we did innumerable sit-ups, push- ups  and  crunches.  Three  personal  trainers  supervised  five  students  each.  The first  lime  I  groaned,  one  came  running  to  me.  The  next  time  he  said,  'Cut  the drama, mate.' We came to the pitch after endurance training. I told them I was no player, but I had to field anyway.","114","10","32","{""NOUN"": 35, ""VERB"": 14, ""."": 9, ""ADJ"": 13, ""PRT"": 6, ""DET"": 13, ""NUM"": 3, ""ADP"": 7, ""PRON"": 10, ""CONJ"": 3, ""ADV"": 1}"
"1340","Thirteen","24","'Here, bowl,' Fred tossed the ball to Ali.","11","1","2","{""ADV"": 1, ""."": 3, ""NOUN"": 3, ""VERB"": 2, ""DET"": 1, ""PRT"": 1}"
"1341","Thirteen","25","'He doesn't really bowl,' Ish said.","9","1","1","{""NOUN"": 2, ""VERB"": 3, ""ADV"": 2, ""."": 2}"
"1342","Thirteen","26","'I know, give it a burl,' Fred clapped his hands.","14","1","3","{""PRT"": 1, ""PRON"": 3, ""VERB"": 3, ""."": 3, ""DET"": 1, ""NOUN"": 3}"
"1343","Thirteen","27","Philip took his fielding place at the boundary near me.","10","1","4","{""NOUN"": 3, ""VERB"": 1, ""PRON"": 2, ""ADJ"": 1, ""ADP"": 2, ""DET"": 1}"
"1344","Thirteen","28","'What's burl?' I asked him.","7","2","1","{""DET"": 1, ""VERB"": 2, ""NOUN"": 1, ""."": 1, ""PRON"": 2}"
"1345","Thirteen","29","'Aussie slang, mate,' Philip laughed, it means give it a try.' Ish  offered  to  be  the  wicket  keeper,  but  Fred  told  him  to  stay  at  the  slip instead. Ali's bowling was no match for these state level players. Roger slammed the ball  towards the boundary  several times.  Once the ball  came between Philip and me, and we had a tough time catching it.","71","5","26","{""NUM"": 1, ""NOUN"": 21, ""."": 6, ""VERB"": 13, ""PRON"": 6, ""DET"": 9, ""PRT"": 4, ""CONJ"": 3, ""ADP"": 3, ""ADV"": 2, ""ADJ"": 3}"
"1346","Thirteen","30","'Rattle your dags, mate,' another fielder shouted at me. No one had to translate 'hurry up' to me.","22","2","8","{""VERB"": 4, ""PRON"": 3, ""NOUN"": 5, ""."": 4, ""DET"": 2, ""ADP"": 1, ""PRT"": 3}"
"1347","Thirteen","31","I  threw  the  ball  back.  What  was  I  doing  in  the  middle  of  this  Australian ground?","16","2","7","{""PRON"": 3, ""VERB"": 3, ""DET"": 3, ""NOUN"": 3, ""PRT"": 1, ""ADP"": 2, ""ADJ"": 1}"
"1348","Thirteen","32","As the day progressed, so did my Aussie vocabulary. 'Onya' was short for 'good on you',  which meant well done.  An easy ball was a 'piece  of  piss', while  a good one  'packed  a  wallop'.  The  mosquitoes  were  'mozzies',  and  soft  drinks  'coldies'.","53","4","17","{""ADP"": 5, ""DET"": 7, ""NOUN"": 12, ""VERB"": 8, ""."": 7, ""ADV"": 2, ""PRON"": 2, ""ADJ"": 5, ""PRT"": 3, ""NUM"": 1, ""CONJ"": 1}"
"1349","Thirteen","33","When  I  took  a  loo  break,  Philip  broke  into  some  more  slang.  'You  got  to  siphon the python, is it?' It started to get dark.","28","3","9","{""ADV"": 2, ""PRON"": 3, ""VERB"": 7, ""DET"": 3, ""ADJ"": 3, ""NOUN"": 4, ""."": 3, ""ADP"": 1, ""PRT"": 2}"
"1350","Thirteen","34","'Pack-up time,' announced Fred though Ali hadn't batted yet.","12","1","1","{""ADJ"": 1, ""NOUN"": 3, ""."": 2, ""VERB"": 3, ""ADP"": 1, ""ADV"": 2}"
"1351","Thirteen","35","Fred raised his eyebrows at a glum Ish in the locker room.","12","1","5","{""NOUN"": 6, ""VERB"": 1, ""PRON"": 1, ""ADP"": 2, ""DET"": 2}"
"1352","Thirteen","36","I am fine,' said Ish. Omi and Ali were taking a walk outside the dub.","17","2","5","{""PRON"": 1, ""VERB"": 4, ""ADJ"": 1, ""."": 2, ""NOUN"": 5, ""CONJ"": 1, ""DET"": 2, ""ADP"": 1}"
"1353","Thirteen","37","'Fair dinkum?' Ish looked up from his wooden stool.","10","2","3","{""NUM"": 1, ""NOUN"": 3, ""."": 1, ""VERB"": 1, ""PRT"": 1, ""ADP"": 1, ""PRON"": 1, ""ADJ"": 1}"
"1354","Thirteen","38","'He is  asking if  you are telling  the  truth,' I  showed off  my newfound linguistic skills.","18","1","7","{""NOUN"": 3, ""VERB"": 5, ""ADP"": 2, ""PRON"": 3, ""DET"": 1, ""."": 2, ""ADJ"": 2}"
"1355","Thirteen","39","'When is practice tomorrow, Fred, in English if you can,' Ish said.","16","1","5","{""NOUN"": 6, ""VERB"": 3, ""."": 4, ""ADP"": 2, ""PRON"": 1}"
"1356","Thirteen","40","'You a whinger?' Fred said. 'Whinge means...,' I said as Ish interrupted me.","17","3","3","{""VERB"": 4, ""DET"": 1, ""NOUN"": 4, ""PRT"": 2, ""."": 3, ""PRON"": 2, ""ADP"": 1}"
"1357","Thirteen","41","I know what whinge means, can someone please explain the point of calling a batsman from thousands of miles away and not making him bat?' Fred smiled, 'Oh, you wanted your little discovery to bat. What for? So he can hit a few sixes. You want the kid to be a show-off from day one?' That's not what I...' 'Mate, I see a lot of talent. Every AIS scholarship kid has tickets on himself. If I don't  break  their  pride,  they  will  stay  hoons  for  the rest of  their  life.  Sportsmen aren't movie stars, mate. Even though your country treats them like that.' 'But Fred...' 'You Indians have good talent, but the training - trust me on that mate.' 'We  are  only  here  for  a  week,' Ish  sounded  helpless.  'I'll  make  the  week productive.  But  today's  lesson  was  important.  If  he  isn't  humble,  he  won't  last long,'  Fred  said,  then  looked  at  his  watch.  'Promised  the  missus  some  time.  I'm off like a bride's nightie.' everyone cried. We clanged our dark brown bottles of XXXX beer, also known as 'fourex' stubbies. 'Hi!' our server Hazel, too hot to be a waitress, hugged Fred.  'Oooh...,'  Fred's  students  egged  him  on  after  she  left.  'No  way,  mate.  The missus  won't  tolerate  me  making  eyes  at  anyone  else,'  Fred  said.  'But  you  guys are single. You must have pretty girls all over you in India.' Everyone looked at us.","282","27","87","{""PRON"": 35, ""VERB"": 55, ""NOUN"": 67, ""."": 33, ""DET"": 19, ""ADP"": 26, ""ADV"": 17, ""CONJ"": 3, ""ADJ"": 14, ""PRT"": 11, ""NUM"": 2}"
"1358","Thirteen","42","'We don't have girlfriends,' Omi said.","9","1","2","{""NOUN"": 3, ""VERB"": 3, ""ADV"": 1, ""."": 2}"
"1359","Thirteen","43","'Why not? Indian women are hot,' said Michael, rolling his 'Too busy with work,' I said.","21","2","4","{""VERB"": 5, ""ADV"": 1, ""ADJ"": 3, ""NOUN"": 4, ""."": 5, ""PRON"": 2, ""ADP"": 1}"
"1360","Thirteen","44","'Busy? Never heard a bloke too busy to root, mate,' Roger said.","15","2","3","{""ADJ"": 2, ""NOUN"": 3, ""VERB"": 4, ""DET"": 1, ""ADV"": 1, ""PRT"": 1, ""."": 3}"
"1361","Thirteen","45","Everyone  laughed.  Root  meant,  well,  whatever.  'Check  those  honeys  out,' Michael said as four girls walked in.","21","3","4","{""NOUN"": 6, ""VERB"": 4, ""."": 4, ""ADV"": 1, ""DET"": 2, ""PRT"": 1, ""ADP"": 2, ""NUM"": 1}"
"1362","Thirteen","46","""The one in brown, she's ain't bad,' Michael said. 'NCR 5.' 'NCR 10,' Roger said.","24","3","2","{""."": 7, ""DET"": 1, ""NOUN"": 4, ""ADP"": 1, ""PRON"": 1, ""VERB"": 3, ""ADJ"": 2, ""ADV"": 1, ""PRT"": 2, ""NUM"": 2}"
"1363","Thirteen","47","'And the blue one?' Philip said.","7","2","1","{""."": 1, ""DET"": 1, ""ADJ"": 1, ""NUM"": 1, ""PRT"": 1, ""NOUN"": 1, ""VERB"": 1}"
"1364","Thirteen","48","'She's NCR 0. Bring it on, man,' Roger said. Everyone laughed.","15","3","2","{""NOUN"": 6, ""PRT"": 1, ""NUM"": 1, ""PRON"": 1, ""ADP"": 1, ""."": 3, ""VERB"": 2}"
"1365","Thirteen","49","'What's NCR?' I asked as there was a whiff of maths in the air.","16","2","7","{""DET"": 4, ""VERB"": 3, ""NOUN"": 4, ""PRT"": 1, ""PRON"": 1, ""ADP"": 3}"
"1366","Thirteen","50","'NCR  is  Number  of  Cans  Required.  The  amount  of  beer  yoi  need  to  drink  to want to have sex with a girl,' Fred said.","26","2","9","{""NOUN"": 10, ""VERB"": 6, ""ADP"": 3, ""DET"": 2, ""PRT"": 3, ""."": 2}"
"1367","Thirteen","51","'Michael dated an ugly bitch once. He admits it, NCR 40 Roger said. Everyone roared with laughter.","18","3","4","{""ADV"": 2, ""VERB"": 4, ""DET"": 1, ""ADJ"": 1, ""NOUN"": 5, ""PRON"": 2, ""."": 1, ""NUM"": 1, ""ADP"": 1}"
"1368","Thirteen","52","'Here  you  go,  hungry  boys,'  Hazel  said  in  a  flirtatious  tone  she  passed  the plates.","18","1","5","{""ADV"": 1, ""PRON"": 2, ""VERB"": 3, ""."": 3, ""ADJ"": 2, ""NOUN"": 4, ""ADP"": 1, ""DET"": 2}"
"1369","Thirteen","53","The Australians mainly ate meat dishes. We had stuck to a pizza as it was the only recognisable choice.","19","2","8","{""DET"": 3, ""NOUN"": 5, ""ADV"": 2, ""PRON"": 2, ""VERB"": 3, ""PRT"": 1, ""ADP"": 1, ""ADJ"": 2}"
"1370","Thirteen","54","'You got to do more protein,' Michael said, his biceps flexing, as he ate.","18","1","6","{""NOUN"": 4, ""VERB"": 5, ""PRT"": 1, ""ADJ"": 1, ""."": 4, ""PRON"": 2, ""ADP"": 1}"
"1371","Thirteen","55","Omi said, I drink two litres of milk everyday.' Ish  sat  next  to  Fred.  I  could  not  hear  their  conversation  However,  I  saw  Ish's frequent nods. I left the Aussie rooting stories and moved to Ish.","40","4","7","{""NOUN"": 13, ""VERB"": 8, ""."": 2, ""PRON"": 5, ""NUM"": 1, ""ADP"": 1, ""PRT"": 4, ""ADJ"": 2, ""ADV"": 2, ""DET"": 1, ""CONJ"": 1}"
"1372","Thirteen","56","'If you're the bowler and you've got the ball in your hand, you're controlling the game.  You've  got  to  make  sure  the  batsman  know  who's  the  boss,'  Fred  was saying.  'Same  for  Ali.  He  doesn't  just  need  to  hit  shots,  he  needs  to  show  the other team who is the boss.' 'Right,' Ish said.","67","5","25","{""ADP"": 3, ""PRON"": 9, ""VERB"": 19, ""DET"": 7, ""NOUN"": 13, ""CONJ"": 1, ""."": 6, ""PRT"": 4, ""ADJ"": 2, ""ADV"": 2, ""NUM"": 1}"
"1373","Thirteen","57","My  players  will  eventually  figure  out  new  ways  to  bowl  to  Ali.  A  determined mind can counter a gift. A champion has both.' Ish nodded.","26","4","8","{""PRON"": 1, ""NOUN"": 7, ""VERB"": 8, ""ADV"": 1, ""PRT"": 3, ""ADJ"": 2, ""DET"": 3, ""."": 1}"
"1374","Thirteen","58","Hi  Govind!'  Fred  had  spotted  me.  'Don't  want  rooting  tips?  We  are  just  doing boring coach talk.' Ish's chest swelled with pride as Fred had called him equal in role.","34","5","10","{""NOUN"": 10, ""PRT"": 2, ""VERB"": 11, ""PRON"": 3, ""ADV"": 2, ""ADP"": 4, ""."": 1, ""ADJ"": 1}"
"1375","Thirteen","59","I  remembered  something.  'You  mentioned  a  scholarship  yesterday.  What's that? In fact, how does the whole sports thing work in Australia.' 'You want to know why Australia always wins?' it doesn't always win,' Ish said.","42","6","10","{""PRON"": 3, ""VERB"": 10, ""NOUN"": 12, ""DET"": 3, ""ADP"": 2, ""."": 3, ""ADV"": 5, ""ADJ"": 1, ""PRT"": 3}"
"1376","Thirteen","60","'Not  always,  thank  goodness.  We  love  to  dominate  opponents,  hut  also  love  a fight. When there's a challenge, it brings out the best.' 'Yeah, even if not every time, Australia does win a lot. Every Olympics, there is pile  of  medals  for  Australia.  In  cricket,  the  domination  continues.  How  come, Fred?' 1 said.","64","8","16","{""NUM"": 2, ""ADV"": 5, ""."": 8, ""ADJ"": 2, ""NOUN"": 19, ""PRON"": 2, ""VERB"": 10, ""PRT"": 4, ""DET"": 8, ""ADP"": 4}"
"1377","Thirteen","61","'Plenty  of  reasons,  mate.  But  it  wasn't  always  like  this.'  Fred  sipped  his sparkling water, in fact, in the 1976 Olympic games in Montreal, Australia didn't win  a  single  medal.'  'But  you  guys  did  well  last  year,'  Ish  said.  'Yes,  in  Sydney 2000.  Australia  won  56  medals,  only  after  USA,  Russia  and  China.  All  these countries have ten times as many people.' He paused. 'Aussies saw the Montreal fiasco as a national shame. So the government set up the Australian Institute of Sports  or  the  AIS  and  initiated  the  world's  best  scholarship  programme.'  Fred finished his glass of water and continued: 'And today the AIS has hundreds of staff - coaches, doctors and physios. They get  two  hundred  million  dollars  of  funding|  and  have  excellent  facilities.  And  at the heart of it all, they offer seven hundred scholarships a year.' Fred pushed the spaghetti plate towards me.","167","14","51","{""NUM"": 9, ""ADP"": 16, ""NOUN"": 52, ""."": 14, ""CONJ"": 8, ""PRON"": 9, ""VERB"": 26, ""ADV"": 5, ""DET"": 15, ""PRT"": 7, ""ADJ"": 6}"
"1378","Thirteen","62","I  listened  as  I  struggled  with  the  ribbon-like  pasta.  I  calculated  how  seven hundred  scholarships  for  twenty  million  people  would  equate  to  for  India.  That was  the  equivalent  of  thirty-five  thousad  sports  scholarships  a  year  for  India  to match the ratio.","41","3","14","{""PRON"": 3, ""VERB"": 8, ""ADP"": 6, ""DET"": 5, ""ADJ"": 4, ""NOUN"": 10, ""ADV"": 1, ""NUM"": 2, ""PRT"": 2}"
"1379","Thirteen","63","'What's the scholarship? Money?' Ish wanted to know.","10","3","2","{""DET"": 2, ""VERB"": 3, ""NOUN"": 3, ""PRT"": 2}"
"1380","Thirteen","64","'Not just money, mate. It is full on. Expert coaching accommodation, travel to tournaments,  sports  science,  medicine -you  name  it.  And  the  best  part  is  to  be part of that communit where everyone has a singular commitment to their sport. I can't describe that feeling,' Fred said, as his eyes lit up.","60","5","20","{""VERB"": 11, ""ADV"": 3, ""NOUN"": 19, ""."": 7, ""PRON"": 5, ""ADJ"": 3, ""ADP"": 4, ""PRT"": 4, ""CONJ"": 1, ""DET"": 3}"
"1381","Thirteen","65","'I know the feeling,' Ish said. Even though Ish's eyes aren't blue. they shone as bright.","21","3","4","{""PRT"": 2, ""PRON"": 2, ""VERB"": 4, ""DET"": 1, ""NOUN"": 5, ""."": 2, ""ADV"": 2, ""ADP"": 2, ""ADJ"": 1}"
"1382","Thirteen","66","The waiters cleared our plates as we finished our food.","10","1","4","{""DET"": 1, ""NOUN"": 3, ""VERB"": 2, ""PRON"": 3, ""ADP"": 1}"
"1383","Thirteen","67","'Any famous players from this scholarship programme?' 'Heaps. Michael Bevan, Adam Gilchrist, Justin Langer, Damien Martyn, Glenn McGrath, Ricky Ponting, Andrew Symonds, Shane Warne...' 'What are you talking about? These are all cricketing legends Ish said.","46","4","7","{""PRT"": 2, ""ADJ"": 1, ""NOUN"": 22, ""ADP"": 2, ""DET"": 4, ""."": 9, ""VERB"": 5, ""PRON"": 1}"
"1384","Thirteen","68","'Legends - that's a good word,' Fred laughed. 'Hope I get there someday.' 'You have a scholarship, too?' I said. Fred nodded.","28","5","6","{""NOUN"": 6, ""."": 4, ""DET"": 3, ""VERB"": 6, ""ADJ"": 1, ""PRT"": 3, ""PRON"": 2, ""ADV"": 3}"
"1385","Thirteen","69","'You are already a legend, Fred,' Ish said. 'Nah, I'm starting out. And let me tell you boys, the whole legend bit is far-fetched. You take a bit of talent and mould it properly, and good stuff happens. In that sense, Australia can create legends.' 'And we can't,' Ish asked.","62","6","15","{""NOUN"": 16, ""VERB"": 13, ""ADV"": 3, ""DET"": 4, ""."": 9, ""NUM"": 1, ""PRON"": 6, ""PRT"": 2, ""CONJ"": 3, ""ADJ"": 3, ""ADP"": 2}"
"1386","Thirteen","70","'Well  you  could,  though  right  now  you  rely  on  talent  more  than  training.  You have a big population, a tiny number of them are born excellent. Like Tendulkar, or maybe like Ali.' 'Yeah, but,' Ish boxed his left palm with his right, 'imagine what would happen if we could have this kind of training in India.' 'Cricket  would  be  finished.  India  would  dominate  and  teams  like  us  would  be nowhere. At least for now we can call ourselves ""legend"".' Fred hooked his fingers around the last word.","99","8","34","{""ADP"": 14, ""PRON"": 12, ""VERB"": 21, ""."": 9, ""ADV"": 6, ""NOUN"": 19, ""ADJ"": 8, ""DET"": 4, ""CONJ"": 3, ""PRT"": 3}"
"1387","Thirteen","71","Ali  did  bat  the  following  days.  Every  bowler  went  through the  shock  of  being slammed for sixes. However, Ali kept the showbiz low and played a steady game.","29","3","10","{""NOUN"": 9, ""VERB"": 7, ""DET"": 4, ""ADJ"": 3, ""ADP"": 3, ""ADV"": 1, ""."": 1, ""CONJ"": 1}"
"1388","Thirteen","72","He crossed fifty runs in a couple of innings. On Friday morning Ali hit the ball for a defensive shot. The ball didn't go far. Ali decided to stay at the crease.","33","4","10","{""PRON"": 1, ""VERB"": 6, ""ADJ"": 2, ""NOUN"": 11, ""ADP"": 5, ""DET"": 5, ""ADV"": 2, ""PRT"": 1}"
"1389","Thirteen","73","'Run, it is a single,' Ish urged from the boundary line.","14","1","5","{""NUM"": 1, ""."": 3, ""PRON"": 1, ""VERB"": 2, ""DET"": 2, ""ADJ"": 2, ""NOUN"": 2, ""ADP"": 1}"
"1390","Thirteen","74","'Run Ali,' Ish said again. Ali looked surprised at the instruction hut ran.","15","2","3","{""NUM"": 1, ""NOUN"": 5, ""."": 2, ""VERB"": 4, ""ADV"": 1, ""ADP"": 1, ""DET"": 1}"
"1391","Thirteen","75","'Faster,' Ish screamed, 'don't sleep.' Ali ran faster as the fielder returned the ball to the bowler.","22","2","5","{""ADV"": 3, ""."": 4, ""NOUN"": 5, ""VERB"": 5, ""ADP"": 1, ""DET"": 3, ""PRT"": 1}"
"1392","Thirteen","76","'Jump,' Ish said. Ali dived. He made the crease but fell with his full body weight coming  down  on  his  left  ankle.  As  everyone  rushed  towards  him,  he  lay  on  the ground clenching his teeth and holding back tears.","42","4","13","{""NUM"": 1, ""."": 3, ""NOUN"": 9, ""VERB"": 10, ""PRON"": 6, ""DET"": 2, ""CONJ"": 2, ""ADP"": 5, ""ADJ"": 2, ""PRT"": 1, ""ADV"": 1}"
"1393","Thirteen","77","'Oh, get up. No time for drama,' Ish said.","12","2","2","{""NOUN"": 4, ""."": 3, ""VERB"": 2, ""ADP"": 2, ""DET"": 1}"
"1394","Thirteen","78","'Easy,  mate,'  Fred  said  to  Ish  and  signalled  for  a  physio.  Within  minutes,  a paramedic arrived and placed an ice pack on Ali's swollen ankle.","30","2","8","{""NUM"": 1, ""."": 4, ""NOUN"": 10, ""VERB"": 4, ""PRT"": 2, ""CONJ"": 2, ""ADP"": 2, ""DET"": 3, ""ADJ"": 2}"
"1395","Thirteen","79","'Lucky it is not a fracture or dislocation. Looks like a ligament got some wear, mate,'  the  physio  said,  applying  painkillers  and wrapping  a  crepe  bandage.  Ali leaned  on  the  physio  as  he  tried  to  hobble.  'Give  the  game  a  rest  for  two  days.","48","4","18","{""PRT"": 2, ""PRON"": 2, ""VERB"": 8, ""ADV"": 1, ""DET"": 8, ""NOUN"": 14, ""CONJ"": 2, ""ADP"": 4, ""."": 4, ""ADJ"": 1, ""NUM"": 2}"
"1396","Thirteen","80","You'll be fine.' 'Don't  worry,  he'll  play  in  a  few  hours,'  Ish  said  with  a  sheepish  expression.","24","2","7","{""PRON"": 2, ""VERB"": 7, ""ADJ"": 3, ""."": 4, ""ADV"": 1, ""ADP"": 2, ""DET"": 2, ""NOUN"": 3}"
"1397","Thirteen","81","Guilt bubbled up his eyes.","5","1","2","{""NOUN"": 2, ""VERB"": 1, ""PRT"": 1, ""PRON"": 1}"
"1398","Thirteen","82","'Everyone,' Fred clapped his hands, 'let's sit down.' We sat down on the pitch around Fred in a circle.","24","2","7","{""NUM"": 1, ""."": 3, ""NOUN"": 6, ""VERB"": 2, ""PRON"": 2, ""DET"": 3, ""PRT"": 3, ""ADV"": 2, ""ADP"": 2}"
"1399","Thirteen","83","'You  are  big  boys  and  tough  players.  You  want  to  give  it  your  all.  But  I  can't emphasise it enough - respect your body's limits 'I  do,'  Ish  said,  feeling  compelled  to  speak,  'but  there  was  a  single  there.  And that is what we Indians miss. We don't want to dive. We don't want to take risks.' 'The game is not about being macho. You can't get caught up in the moment so much that you forget.' 'Forget what?' I said.","94","10","33","{""NOUN"": 11, ""VERB"": 29, ""ADJ"": 6, ""CONJ"": 3, ""PRON"": 15, ""PRT"": 8, ""DET"": 5, ""ADV"": 7, ""."": 7, ""ADP"": 3}"
"1400","Thirteen","84","'Forget  that  you  got  one  fragile  body.  Lose  it,  and  you  are  gone,  You  must safeguard it. And Ish, you must protect your student.' Ish hung his head low.","33","4","10","{""VERB"": 10, ""ADP"": 1, ""PRON"": 8, ""NUM"": 1, ""NOUN"": 7, ""."": 4, ""CONJ"": 2}"
"1401","Thirteen","85","'I had just started my career when my nasty back almost finished it,' Fred said.","18","1","6","{""PRT"": 1, ""PRON"": 4, ""VERB"": 4, ""ADV"": 4, ""NOUN"": 3, ""."": 2}"
"1402","Thirteen","86","'I'd have been selling suits at a store for the rest of my life, as that is the only job I could get.' He  added,  '1  made  the  same  mistakes,  wanting  to  kill  myself  for  the  game  I played  that  day.  But  if  you  want  a  career,  think  long  term.  Yes,  passion  is important. But the head has to be clear during the match.' Ish apologised to Fred later in the locker room. 'I'd never let Ali get hurt.' 'The  kid  is  good.  I  have  a  little  surprise  for  him.  You  leave  Sunday  evening, right?' 'Yes, in two days,' Ish said.'Can't believe the week went by so fast.' 'Sunday breakfast is on me. I want you guys to meet someone important.' Bondi beach  is so beautiful  that it  needs a coffee table book  of its own.  First, the sky. The Australian sky is a different colour from India. It actually looks the same as the sky blue colour in paint  shops  and is  so  crisp  that your  eyes  hurt.","192","18","69","{""PRT"": 12, ""PRON"": 18, ""VERB"": 39, ""NOUN"": 43, ""ADP"": 19, ""DET"": 19, ""."": 14, ""ADJ"": 16, ""NUM"": 3, ""CONJ"": 3, ""ADV"": 6}"
"1403","Thirteen","87","There is no pollution. The sea is visible for miles. At the shore, the Pacific Ocean meets the powdery sand to create perfect waves. They are strong enough to surf on, yet soft enough to make you relax.","40","4","13","{""DET"": 6, ""VERB"": 8, ""NOUN"": 9, ""ADJ"": 4, ""ADP"": 3, ""."": 2, ""PRT"": 3, ""PRON"": 2, ""ADV"": 3}"
"1404","Thirteen","88","But that summer, the nicest part about the beach was its people - those who were  not  men.  That  is,  those  who  were  women.  Gorgeous  and  topless.  And  if you've never seen a topless woman in your life before, places like this did things to you.","50","4","25","{""CONJ"": 3, ""DET"": 8, ""NOUN"": 12, ""."": 4, ""ADJ"": 2, ""ADP"": 5, ""VERB"": 7, ""PRON"": 6, ""ADV"": 2, ""PRT"": 1}"
"1405","Thirteen","89","'There  must  be  a  hundred  women  here,""  Ish  whistled.  And  each  one  a knockout!' It was true. It was like all the beautiful women in the world emailed each other and decided to meet at Bondi.","39","4","16","{""DET"": 8, ""VERB"": 8, ""ADJ"": 4, ""NOUN"": 6, ""ADV"": 1, ""."": 2, ""CONJ"": 2, ""NUM"": 1, ""PRT"": 2, ""PRON"": 2, ""ADP"": 3}"
"1406","Thirteen","90","'You  want  an  umbrella?'  I  said  as  we  parked  ourselves  at  a  scenic  spot.  Six topless women played Frisbee there.","21","3","7","{""PRT"": 2, ""VERB"": 4, ""DET"": 3, ""NOUN"": 6, ""PRON"": 3, ""ADP"": 2, ""ADJ"": 1}"
"1407","Thirteen","91","'Wow, you can actually see their ni ... wow,' Omi pointed out helpfully.","16","1","4","{""NUM"": 1, ""."": 4, ""PRON"": 2, ""VERB"": 3, ""ADV"": 2, ""NOUN"": 3, ""PRT"": 1}"
"1408","Thirteen","92","'There are a hundred women here. So we have two hundred breasts to look at,' I said and was teased for bringing maths everywhere.","26","2","10","{""DET"": 2, ""VERB"": 7, ""ADJ"": 2, ""NOUN"": 3, ""ADV"": 2, ""ADP"": 3, ""PRON"": 2, ""NUM"": 1, ""PRT"": 1, ""."": 2, ""CONJ"": 1}"
"1409","Thirteen","93","Having grown up in a place where sleeveless blouses cause scandals, tops-off is what an MBA type would call a 'paradigm shift'.","24","1","8","{""VERB"": 6, ""PRT"": 1, ""ADP"": 1, ""DET"": 3, ""NOUN"": 8, ""ADV"": 1, ""."": 2, ""PRON"": 1, ""ADJ"": 1}"
"1410","Thirteen","94","'I could not play with them. I'd never look at the Frisbee Ish said.","16","2","5","{""PRT"": 1, ""PRON"": 3, ""VERB"": 5, ""ADV"": 2, ""ADP"": 2, ""DET"": 1, ""NOUN"": 2}"
"1411","Thirteen","95","'Check  that  blonde  one,  wow,  she  is  massive,'  I  said.  Oh  well  when in Disneyland, play.","21","2","5","{""NOUN"": 5, ""DET"": 1, ""VERB"": 3, ""NUM"": 1, ""."": 5, ""PRON"": 2, ""ADJ"": 1, ""ADV"": 2, ""ADP"": 1}"
"1412","Thirteen","96","'This is what heaven must look like. My eyes are tired from not blinking,' Omi said.","18","2","5","{""NOUN"": 4, ""VERB"": 7, ""PRON"": 1, ""ADJ"": 1, ""ADP"": 2, ""ADV"": 1, ""."": 2}"
